FL_DATE,AIRLINE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,DISTANCE
2020-04-30,Southwest Airlines Co.,DAL,SDF,4.0,10.0,0,725.0
2019-05-05,Endeavor Air Inc.,CAK,ATL,-5.0,-14.0,0,528.0
2019-11-13,United Air Lines Inc.,SFO,IAD,-7.0,-16.0,0,2419.0
2020-07-04,Spirit Air Lines,CRW,MCO,-16.0,0.0,0,686.0
2020-12-17,Delta Air Lines Inc.,DFW,ATL,-8.0,13.0,0,731.0
2022-01-24,Southwest Airlines Co.,DEN,SLC,0.0,-19.0,0,391.0
2021-10-10,SkyWest Airlines Inc.,ONT,SEA,-7.0,3.0,0,956.0
2020-02-16,United Air Lines Inc.,EWR,AUS,-4.0,-18.0,0,1504.0
2019-08-05,United Air Lines Inc.,SFO,SNA,-2.0,-5.0,0,372.0
2022-08-19,Mesa Airlines Inc.,MIA,IAD,-2.0,-14.0,0,921.0
2020-09-17,SkyWest Airlines Inc.,CMX,ORD,-10.0,-15.0,0,360.0
2021-05-12,Southwest Airlines Co.,DEN,ORD,-6.0,-20.0,0,888.0
2021-05-21,Southwest Airlines Co.,LGA,TPA,0.0,-28.0,0,1010.0
2021-10-11,Southwest Airlines Co.,LAX,OAK,-1.0,-6.0,0,337.0
2022-01-25,SkyWest Airlines Inc.,DEN,LBL,-8.0,-16.0,0,280.0
2021-12-17,JetBlue Airways,PSP,JFK,18.0,8.0,0,2378.0
2022-11-05,American Airlines Inc.,CLT,ORD,151.0,146.0,0,599.0
2021-01-07,Republic Airline,ATL,PHL,-6.0,-10.0,0,666.0
2023-01-09,Allegiant Air,SFB,BNA,2.0,-2.0,0,598.0
2021-12-26,United Air Lines Inc.,MIA,ORD,-6.0,-1.0,0,1197.0
2021-11-19,JetBlue Airways,SJU,MCO,-8.0,-19.0,0,1189.0
2022-08-19,American Airlines Inc.,RIC,CLT,-5.0,-14.0,0,257.0
2019-12-14,Southwest Airlines Co.,BNA,SAT,-4.0,-16.0,0,822.0
2021-08-29,Southwest Airlines Co.,BWI,MHT,5.0,-9.0,0,377.0
2023-07-18,American Airlines Inc.,PHL,ORD,-9.0,-13.0,0,678.0
2020-06-24,Endeavor Air Inc.,DTW,ABE,-10.0,-15.0,0,425.0
2023-07-11,Republic Airline,DCA,ATL,-4.0,-15.0,0,547.0
2019-12-28,Envoy Air,DRT,DFW,-6.0,-3.0,0,335.0
2023-04-16,Republic Airline,EWR,PIT,73.0,91.0,0,319.0
2021-04-22,Southwest Airlines Co.,PHX,DAL,0.0,-23.0,0,879.0
2021-02-01,Southwest Airlines Co.,DAL,SAN,33.0,29.0,0,1182.0
2020-06-27,Frontier Airlines Inc.,DEN,MSP,-11.0,-25.0,0,680.0
2022-12-09,American Airlines Inc.,SAN,PHX,-2.0,-7.0,0,304.0
2022-08-26,Envoy Air,FSM,DFW,-12.0,-22.0,0,227.0
2023-02-13,JetBlue Airways,SAV,BOS,20.0,11.0,0,901.0
2019-04-27,United Air Lines Inc.,LAX,EWR,-8.0,0.0,1,2454.0
2022-07-28,Southwest Airlines Co.,MDW,MSP,23.0,9.0,0,349.0
2023-04-18,Alaska Airlines Inc.,PDX,SAN,19.0,32.0,0,933.0
2019-01-08,Southwest Airlines Co.,EWR,BNA,57.0,56.0,0,748.0
2022-04-16,Republic Airline,DCA,JFK,169.0,167.0,0,213.0
2019-12-15,United Air Lines Inc.,IAH,SFO,34.0,19.0,0,1635.0
2020-02-18,Southwest Airlines Co.,SFO,LAS,-5.0,-20.0,0,414.0
2023-05-30,Envoy Air,MIA,SDF,-5.0,-17.0,0,910.0
2023-05-24,United Air Lines Inc.,BOS,EWR,-8.0,0.0,0,200.0
2019-09-04,United Air Lines Inc.,MCO,IAD,0.0,0.0,1,758.0
2021-08-17,Alaska Airlines Inc.,SEA,JNU,-7.0,12.0,0,909.0
2020-12-19,SkyWest Airlines Inc.,RDM,SLC,-1.0,-9.0,0,525.0
2019-09-04,Southwest Airlines Co.,SAN,SMF,-7.0,-16.0,0,480.0
2021-09-23,United Air Lines Inc.,RNO,DEN,-3.0,-1.0,0,804.0
2019-05-26,Southwest Airlines Co.,DEN,MDW,1.0,-15.0,0,895.0
2019-02-19,American Airlines Inc.,JFK,CLT,-3.0,8.0,0,541.0
2023-03-28,SkyWest Airlines Inc.,HPN,ORD,-11.0,-11.0,0,738.0
2021-10-05,Southwest Airlines Co.,IAH,MSY,-10.0,-19.0,0,305.0
2020-02-06,Southwest Airlines Co.,DEN,CLE,37.0,53.0,0,1201.0
2021-01-17,Delta Air Lines Inc.,IAH,SLC,-11.0,-15.0,0,1195.0
2023-08-08,American Airlines Inc.,DFW,PNS,3.0,12.0,0,604.0
2019-09-04,Delta Air Lines Inc.,AGS,ATL,-4.0,-24.0,0,143.0
2022-06-07,Envoy Air,DAY,DFW,10.0,14.0,0,861.0
2021-03-04,JetBlue Airways,RSW,BOS,-29.0,-11.0,0,1249.0
2021-12-12,United Air Lines Inc.,SEA,EWR,-3.0,-31.0,0,2402.0
2021-03-30,JetBlue Airways,EWR,TPA,1.0,-3.0,0,997.0
2020-02-04,Southwest Airlines Co.,BWI,LAS,-4.0,-32.0,0,2106.0
2019-08-06,Southwest Airlines Co.,BWI,FLL,-2.0,0.0,0,925.0
2021-09-04,American Airlines Inc.,STL,CLT,4.0,-7.0,0,575.0
2019-07-31,Delta Air Lines Inc.,MIA,ATL,-2.0,2.0,0,594.0
2021-07-20,Delta Air Lines Inc.,DCA,ATL,-1.0,-5.0,0,547.0
2021-10-02,PSA Airlines Inc.,CLT,MHT,8.0,4.0,0,737.0
2022-07-19,Southwest Airlines Co.,AUS,MDW,0.0,-1.0,0,972.0
2020-02-24,SkyWest Airlines Inc.,DFW,JAN,-3.0,-16.0,0,408.0
2022-03-05,SkyWest Airlines Inc.,ORD,DTW,-7.0,-14.0,0,235.0
2019-12-11,Republic Airline,STL,DCA,-10.0,-12.0,0,719.0
2020-10-01,SkyWest Airlines Inc.,MSP,IMT,-4.0,-9.0,0,257.0
2021-02-04,SkyWest Airlines Inc.,GEG,SEA,-4.0,-15.0,0,224.0
2020-11-27,United Air Lines Inc.,DEN,CHS,-9.0,-6.0,0,1449.0
2023-04-25,SkyWest Airlines Inc.,DFW,SBN,-4.0,-5.0,0,846.0
2019-10-08,American Airlines Inc.,MIA,ORD,37.0,41.0,0,1197.0
2023-03-29,American Airlines Inc.,SEA,ORD,14.0,1.0,0,1721.0
2022-11-12,American Airlines Inc.,PBI,CLT,-3.0,-12.0,0,590.0
2022-01-25,Frontier Airlines Inc.,DEN,MCI,-6.0,0.0,0,533.0
2022-11-23,Allegiant Air,BOS,SRQ,-12.0,-14.0,0,1220.0
2022-01-14,Envoy Air,DFW,SJT,-5.0,7.0,0,229.0
2021-12-08,United Air Lines Inc.,FLL,EWR,-7.0,-21.0,0,1065.0
2022-06-25,Envoy Air,ORD,GRB,-2.0,1.0,0,174.0
2020-02-14,American Airlines Inc.,PHL,PBI,4.0,-2.0,0,951.0
2019-08-20,Endeavor Air Inc.,EVV,DTW,-10.0,-22.0,0,363.0
2021-07-24,Southwest Airlines Co.,MCO,IND,0.0,-2.0,0,829.0
2020-02-09,Allegiant Air,PIE,CID,-14.0,-20.0,0,1090.0
2021-07-22,Southwest Airlines Co.,LAS,MDW,14.0,38.0,0,1521.0
2019-02-23,American Airlines Inc.,DFW,BOS,9.0,-14.0,0,1562.0
2020-10-30,American Airlines Inc.,PHX,SAN,0.0,-7.0,0,304.0
2023-03-05,Southwest Airlines Co.,PIT,MCO,5.0,-12.0,0,834.0
2023-01-05,Frontier Airlines Inc.,SLC,LAS,133.0,156.0,0,368.0
2020-04-13,Envoy Air,DFW,AMA,-9.0,-4.0,0,312.0
2021-03-31,Envoy Air,ORD,OMA,0.0,-1.0,0,416.0
2020-01-11,Alaska Airlines Inc.,LAS,PDX,3.0,4.0,0,763.0
2022-06-04,Southwest Airlines Co.,SEA,DEN,-2.0,-22.0,0,1024.0
2021-10-25,SkyWest Airlines Inc.,PHX,SGU,-4.0,-2.0,0,262.0
2021-10-06,Spirit Air Lines,LAS,IAH,4.0,-11.0,0,1222.0
2019-07-23,Southwest Airlines Co.,DAL,AUS,6.0,-7.0,0,189.0
2021-01-13,Horizon Air,BLI,SEA,54.0,49.0,0,93.0
2019-06-15,Delta Air Lines Inc.,FLL,ATL,-6.0,7.0,0,581.0
2022-08-16,Delta Air Lines Inc.,LGA,MSP,-3.0,-25.0,0,1020.0
2023-01-17,American Airlines Inc.,PHX,DFW,1.0,-11.0,0,868.0
2021-01-17,Alaska Airlines Inc.,SEA,ANC,10.0,24.0,0,1448.0
2021-04-20,PSA Airlines Inc.,DAB,CLT,-10.0,-13.0,0,416.0
2022-03-12,Mesa Airlines Inc.,ORD,DCA,47.0,31.0,0,612.0
2019-06-26,Endeavor Air Inc.,ATL,LEX,-6.0,-19.0,0,304.0
2020-01-27,Alaska Airlines Inc.,SEA,KTN,6.0,-8.0,0,680.0
2019-08-27,American Airlines Inc.,BWI,DFW,67.0,45.0,0,1217.0
2020-10-14,Southwest Airlines Co.,MCO,ISP,-6.0,-8.0,0,971.0
2022-05-22,JetBlue Airways,PBI,HPN,-6.0,-10.0,0,1056.0
2020-04-10,Southwest Airlines Co.,SAN,SFO,0.0,0.0,1,447.0
2022-08-06,Delta Air Lines Inc.,ATL,TLH,-2.0,-16.0,0,223.0
2021-08-12,Alaska Airlines Inc.,ONT,SEA,-10.0,-21.0,0,956.0
2023-03-08,United Air Lines Inc.,ICT,ORD,-3.0,-6.0,0,588.0
2022-11-18,Endeavor Air Inc.,DTW,ATW,-5.0,-11.0,0,296.0
2019-10-09,Delta Air Lines Inc.,LAX,SEA,-5.0,-10.0,0,954.0
2019-12-11,Republic Airline,IAH,XNA,-7.0,-16.0,0,438.0
2019-05-08,American Airlines Inc.,IAH,MIA,-4.0,-11.0,0,964.0
2021-12-10,JetBlue Airways,BOS,SAV,-8.0,-24.0,0,901.0
2019-08-29,American Airlines Inc.,DFW,TUS,-5.0,-13.0,0,813.0
2019-11-14,SkyWest Airlines Inc.,ORD,CAK,81.0,74.0,0,343.0
2022-08-05,United Air Lines Inc.,MSY,IAH,10.0,17.0,0,305.0
2019-11-11,SkyWest Airlines Inc.,LAX,MRY,0.0,-8.0,0,266.0
2022-01-17,Republic Airline,ORF,PHL,-6.0,-2.0,0,212.0
2019-07-23,Hawaiian Airlines Inc.,HNL,ITO,-4.0,-7.0,0,216.0
2019-05-30,Southwest Airlines Co.,DEN,SEA,7.0,-8.0,0,1024.0
2022-04-04,United Air Lines Inc.,LAX,IAH,-4.0,-12.0,0,1379.0
2023-08-06,Southwest Airlines Co.,BOI,LAS,43.0,40.0,0,519.0
2021-10-23,Southwest Airlines Co.,HOU,BNA,42.0,33.0,0,670.0
2023-06-17,SkyWest Airlines Inc.,XNA,DEN,-8.0,-8.0,0,616.0
2019-03-15,American Airlines Inc.,LAS,JFK,-4.0,-23.0,0,2248.0
2022-12-14,JetBlue Airways,DCA,MCO,-5.0,-17.0,0,759.0
2020-11-08,American Airlines Inc.,MIA,STT,4.0,10.0,0,1107.0
2019-02-08,Southwest Airlines Co.,DEN,BWI,2.0,-28.0,0,1491.0
2023-05-20,American Airlines Inc.,ATL,ORD,-9.0,-24.0,0,606.0
2023-07-07,Frontier Airlines Inc.,PHL,CLT,47.0,52.0,0,449.0
2022-06-24,American Airlines Inc.,PHL,BOS,-2.0,-8.0,0,280.0
2019-10-16,SkyWest Airlines Inc.,ORD,BNA,-4.0,-17.0,0,409.0
2019-11-19,SkyWest Airlines Inc.,DTW,ATW,0.0,9.0,0,296.0
2021-04-19,SkyWest Airlines Inc.,GEG,SEA,0.0,-16.0,0,224.0
2019-11-03,Southwest Airlines Co.,DEN,SJC,6.0,-7.0,0,948.0
2019-08-06,JetBlue Airways,JFK,SJU,-7.0,36.0,0,1598.0
2022-03-29,United Air Lines Inc.,ORD,BWI,8.0,3.0,0,621.0
2019-07-21,Southwest Airlines Co.,BUR,SFO,45.0,43.0,0,326.0
2020-03-20,SkyWest Airlines Inc.,STL,MSP,-3.0,-16.0,0,448.0
2022-06-03,Envoy Air,CLT,SGF,6.0,-2.0,0,708.0
2023-04-30,Spirit Air Lines,MYR,BOS,74.0,78.0,0,738.0
2021-03-20,Southwest Airlines Co.,TPA,CMH,-2.0,-16.0,0,829.0
2022-12-28,Alaska Airlines Inc.,SEA,DFW,3.0,12.0,0,1660.0
2020-07-18,Spirit Air Lines,BWI,MSP,-13.0,-24.0,0,936.0
2019-04-06,Southwest Airlines Co.,MSP,PHX,-2.0,-16.0,0,1276.0
2022-12-23,Horizon Air,SUN,SEA,138.0,153.0,0,475.0
2023-05-19,Delta Air Lines Inc.,ATL,CHA,-2.0,-10.0,0,106.0
2019-11-27,Hawaiian Airlines Inc.,HNL,ITO,6.0,14.0,0,216.0
2021-03-22,Republic Airline,PHL,BOS,-5.0,-39.0,0,280.0
2019-07-23,American Airlines Inc.,PHX,SAT,-6.0,-13.0,0,843.0
2022-08-05,American Airlines Inc.,CLT,MSP,19.0,21.0,0,930.0
2019-08-14,PSA Airlines Inc.,TYS,DCA,-9.0,-22.0,0,437.0
2021-02-05,Frontier Airlines Inc.,LAS,PHX,-4.0,-12.0,0,255.0
2019-08-06,Alaska Airlines Inc.,ANC,HNL,-6.0,-4.0,0,2777.0
2022-06-18,Southwest Airlines Co.,LAX,DEN,14.0,-3.0,0,862.0
2023-04-27,American Airlines Inc.,BOS,MIA,-3.0,-14.0,0,1258.0
2019-01-18,Mesa Airlines Inc.,PHX,MEM,-2.0,-25.0,0,1264.0
2019-11-08,Southwest Airlines Co.,DEN,OAK,-5.0,-16.0,0,957.0
2021-07-13,Mesa Airlines Inc.,MEM,PHX,1.0,-13.0,0,1264.0
2022-03-21,PSA Airlines Inc.,HPN,DCA,-8.0,-11.0,0,234.0
2021-08-12,Delta Air Lines Inc.,RSW,ATL,-8.0,-14.0,0,515.0
2021-08-05,SkyWest Airlines Inc.,CIU,DTW,-4.0,-9.0,0,284.0
2019-12-21,Delta Air Lines Inc.,DEN,JFK,-2.0,-5.0,0,1626.0
2022-12-08,Delta Air Lines Inc.,ATL,MLB,16.0,18.0,0,442.0
2019-12-10,United Air Lines Inc.,HNL,SFO,-8.0,-18.0,0,2398.0
2019-03-26,Delta Air Lines Inc.,MCO,BOS,-6.0,-19.0,0,1121.0
2019-03-31,SkyWest Airlines Inc.,ORD,BHM,-3.0,-6.0,0,583.0
2022-03-21,JetBlue Airways,JFK,SJU,58.0,25.0,0,1598.0
2022-09-22,Republic Airline,JFK,CMH,41.0,49.0,0,483.0
2022-01-31,Delta Air Lines Inc.,LAX,MEM,-4.0,-7.0,0,1619.0
2023-01-22,Spirit Air Lines,EWR,LAX,3.0,-25.0,0,2454.0
2023-04-14,SkyWest Airlines Inc.,DFW,SAF,-10.0,-19.0,0,551.0
2019-06-21,PSA Airlines Inc.,CLT,DAY,-5.0,-8.0,0,370.0
2023-07-10,Delta Air Lines Inc.,MSP,ORD,-1.0,2.0,0,334.0
2020-03-31,Delta Air Lines Inc.,HNL,ATL,12.0,-27.0,0,4502.0
2020-09-30,Alaska Airlines Inc.,WRG,KTN,-11.0,-10.0,0,82.0
2021-05-20,American Airlines Inc.,PHL,FLL,-3.0,-38.0,0,992.0
2019-11-15,SkyWest Airlines Inc.,DEN,SYR,-3.0,-8.0,0,1492.0
2021-09-11,SkyWest Airlines Inc.,DEN,TUS,8.0,6.0,0,639.0
2019-12-15,Alaska Airlines Inc.,DCA,SEA,-14.0,-16.0,0,2329.0
2020-04-19,Delta Air Lines Inc.,ATL,MSP,-2.0,-5.0,0,907.0
2023-01-02,Allegiant Air,PGD,CVG,43.0,57.0,0,850.0
2021-12-28,Frontier Airlines Inc.,PHL,TPA,-2.0,-5.0,0,920.0
2020-09-18,Alaska Airlines Inc.,DTW,SEA,-12.0,-9.0,0,1927.0
2019-05-09,Southwest Airlines Co.,BNA,LGA,-2.0,-10.0,0,764.0
2022-07-12,United Air Lines Inc.,DEN,GJT,-6.0,-14.0,0,212.0
2021-06-09,United Air Lines Inc.,ORD,DEN,18.0,5.0,0,888.0
2020-01-25,American Airlines Inc.,MIA,LGA,-6.0,-27.0,0,1096.0
2020-01-25,American Airlines Inc.,TPA,PHL,-3.0,-21.0,0,920.0
2022-02-13,United Air Lines Inc.,DEN,CLE,12.0,31.0,0,1201.0
2019-08-05,American Airlines Inc.,ORD,PHL,-7.0,-7.0,0,678.0
2022-01-04,SkyWest Airlines Inc.,DTW,IAD,103.0,93.0,0,383.0
2022-07-23,Delta Air Lines Inc.,ATL,MSP,1.0,-5.0,0,907.0
2019-10-19,Southwest Airlines Co.,AUS,STL,-5.0,-18.0,0,721.0
2022-06-20,American Airlines Inc.,IAD,DFW,0.0,-12.0,0,1172.0
2022-04-25,Southwest Airlines Co.,HNL,SJC,27.0,15.0,0,2417.0
2022-09-15,Delta Air Lines Inc.,SLC,MSP,11.0,4.0,0,991.0
2023-05-18,Southwest Airlines Co.,STL,BNA,30.0,21.0,0,272.0
2021-05-26,Republic Airline,BOS,CMH,-5.0,-21.0,0,640.0
2022-03-17,United Air Lines Inc.,OMA,IAH,-8.0,-28.0,0,781.0
2023-06-18,United Air Lines Inc.,IAH,AUS,21.0,24.0,0,140.0
2022-09-03,Southwest Airlines Co.,RSW,MDW,34.0,24.0,0,1105.0
2019-12-24,United Air Lines Inc.,HNL,LAX,-11.0,-16.0,0,2556.0
2020-03-18,Republic Airline,MKE,BOS,-11.0,-15.0,0,860.0
2022-06-25,Southwest Airlines Co.,MDW,BDL,27.0,25.0,0,777.0
2020-01-18,Hawaiian Airlines Inc.,LIH,HNL,2.0,5.0,0,102.0
2020-08-25,Delta Air Lines Inc.,BDL,MSP,-15.0,-4.0,0,1050.0
2023-04-30,SkyWest Airlines Inc.,RNO,LAX,-13.0,-3.0,0,391.0
2019-07-07,American Airlines Inc.,DCA,DFW,-6.0,-27.0,0,1192.0
2022-07-21,Envoy Air,ORD,MCI,-2.0,-13.0,0,403.0
2023-05-05,American Airlines Inc.,BOI,PHX,-6.0,-1.0,0,735.0
2020-09-18,SkyWest Airlines Inc.,CMH,DEN,-6.0,-2.0,0,1154.0
2021-10-30,Republic Airline,LGA,CMH,-5.0,-6.0,0,479.0
2021-04-04,Horizon Air,SEA,RDM,12.0,17.0,0,228.0
2022-01-22,United Air Lines Inc.,LAX,IAD,-3.0,-7.0,0,2288.0
2019-08-28,Endeavor Air Inc.,RDU,IND,-10.0,-24.0,0,489.0
2021-03-07,Envoy Air,DFW,GGG,-4.0,-15.0,0,140.0
2023-03-09,United Air Lines Inc.,ORD,EWR,-5.0,-14.0,0,719.0
2023-06-15,JetBlue Airways,MCO,JFK,-2.0,-12.0,0,944.0
2023-02-07,Southwest Airlines Co.,AUS,BNA,12.0,0.0,0,756.0
2022-09-24,SkyWest Airlines Inc.,SAN,STS,-4.0,11.0,0,508.0
2023-03-31,American Airlines Inc.,PHX,SLC,-7.0,-13.0,0,507.0
2019-07-12,ExpressJet Airlines LLC d/b/a aha!,IAH,LIT,-3.0,-2.0,0,374.0
2020-09-13,ExpressJet Airlines LLC d/b/a aha!,BRO,IAH,1.0,-5.0,0,308.0
2021-10-20,Southwest Airlines Co.,BWI,MCO,35.0,21.0,0,787.0
2021-03-13,Allegiant Air,SFB,FNT,-7.0,0.0,0,988.0
2019-09-08,ExpressJet Airlines LLC d/b/a aha!,PWM,ORD,-10.0,2.0,0,900.0
2022-06-17,Mesa Airlines Inc.,SDF,DFW,39.0,26.0,0,733.0
2019-03-26,Southwest Airlines Co.,DAL,LAX,0.0,0.0,1,1246.0
2022-07-14,Envoy Air,GGG,DFW,51.0,43.0,0,140.0
2019-08-28,United Air Lines Inc.,SFO,IAD,-5.0,-18.0,0,2419.0
2023-02-14,Southwest Airlines Co.,BWI,FLL,-1.0,-11.0,0,925.0
2020-09-15,Southwest Airlines Co.,DAL,MDW,3.0,5.0,0,793.0
2022-05-18,Frontier Airlines Inc.,MCO,DFW,68.0,67.0,0,985.0
2020-03-20,SkyWest Airlines Inc.,SAN,LAX,-6.0,-19.0,0,109.0
2023-07-05,SkyWest Airlines Inc.,BOI,SJC,-7.0,-6.0,0,523.0
2019-08-23,Delta Air Lines Inc.,EWR,ATL,-4.0,-3.0,0,746.0
2022-09-07,JetBlue Airways,JFK,SFO,-2.0,-47.0,0,2586.0
2022-09-14,Southwest Airlines Co.,BNA,MDW,-4.0,-15.0,0,395.0
2019-07-10,American Airlines Inc.,PHL,RDU,-6.0,-4.0,0,337.0
2021-12-24,Endeavor Air Inc.,DTW,STL,-2.0,-7.0,0,440.0
2019-03-12,Republic Airline,ORD,BNA,-6.0,-15.0,0,409.0
2021-11-19,Allegiant Air,LAS,RNO,-5.0,2.0,0,345.0
2022-06-18,Envoy Air,TPA,BNA,10.0,11.0,0,612.0
2023-08-08,Southwest Airlines Co.,DAL,DCA,-4.0,12.0,0,1184.0
2021-10-07,Envoy Air,ORD,BMI,27.0,15.0,0,116.0
2022-01-01,Alaska Airlines Inc.,SEA,AUS,33.0,16.0,0,1770.0
2022-01-22,SkyWest Airlines Inc.,SJC,LAX,-2.0,14.0,0,308.0
2023-01-31,American Airlines Inc.,DCA,TPA,-10.0,-4.0,0,814.0
2020-03-25,Southwest Airlines Co.,LAS,DEN,97.0,78.0,0,628.0
2019-05-12,American Airlines Inc.,CLT,LAX,161.0,148.0,0,2125.0
2021-06-23,United Air Lines Inc.,LAS,DEN,-8.0,-19.0,0,628.0
2021-07-01,Republic Airline,DTW,BUF,-1.0,-14.0,0,241.0
2019-07-16,American Airlines Inc.,DFW,PHL,2.0,8.0,0,1303.0
2019-10-13,Southwest Airlines Co.,DEN,ABQ,-3.0,-17.0,0,349.0
2023-08-19,American Airlines Inc.,RDU,MIA,-5.0,-16.0,0,700.0
2022-07-06,Southwest Airlines Co.,SJU,BWI,-4.0,29.0,0,1565.0
2022-01-19,American Airlines Inc.,DFW,SYR,-3.0,-17.0,0,1336.0
2019-07-28,Delta Air Lines Inc.,BOS,ATL,-1.0,-17.0,0,946.0
2023-07-29,United Air Lines Inc.,ATL,IAH,-6.0,-22.0,0,689.0
2019-11-05,Southwest Airlines Co.,MDW,SFO,71.0,62.0,0,1855.0
2022-10-07,Delta Air Lines Inc.,OMA,ATL,3.0,-7.0,0,821.0
2021-02-04,Delta Air Lines Inc.,ATL,JAX,-5.0,-9.0,0,270.0
2021-05-18,Envoy Air,DFW,CHA,-4.0,-15.0,0,695.0
2019-02-04,Southwest Airlines Co.,SMF,DEN,-1.0,-18.0,0,909.0
2019-03-31,SkyWest Airlines Inc.,ORD,LSE,-8.0,-17.0,0,215.0
2021-05-03,United Air Lines Inc.,RSW,IAD,-3.0,-13.0,0,891.0
2019-12-23,SkyWest Airlines Inc.,PLN,DTW,-5.0,-31.0,0,243.0
2019-06-21,American Airlines Inc.,MEM,PHX,-3.0,-20.0,0,1264.0
2022-09-13,Delta Air Lines Inc.,JAN,ATL,-13.0,-25.0,0,341.0
2020-04-16,SkyWest Airlines Inc.,GRR,DTW,-3.0,8.0,0,120.0
2020-08-23,Alaska Airlines Inc.,SAN,MCO,-15.0,-12.0,0,2149.0
2021-09-03,SkyWest Airlines Inc.,DEN,OMA,121.0,130.0,0,472.0
2019-10-18,American Airlines Inc.,DFW,OKC,-5.0,3.0,0,175.0
2020-05-02,JetBlue Airways,JFK,FLL,0.0,-13.0,0,1069.0
2021-03-12,SkyWest Airlines Inc.,SLC,OAK,1.0,-23.0,0,588.0
2021-08-03,Mesa Airlines Inc.,MIA,IAD,0.0,13.0,0,921.0
2019-02-17,Southwest Airlines Co.,HOU,ABQ,9.0,10.0,0,759.0
2022-08-29,United Air Lines Inc.,EWR,JAX,-6.0,5.0,0,820.0
2021-10-06,Mesa Airlines Inc.,MAF,IAH,-10.0,-21.0,0,429.0
2023-01-18,JetBlue Airways,FLL,BDL,-3.0,-7.0,0,1173.0
2023-02-24,Delta Air Lines Inc.,EWR,DTW,-10.0,-11.0,0,488.0
2023-04-04,Republic Airline,SDF,LGA,-8.0,-25.0,0,659.0
2020-11-16,Republic Airline,EWR,PWM,-6.0,-14.0,0,284.0
2022-05-12,United Air Lines Inc.,LAX,IAD,4.0,23.0,0,2288.0
2019-11-22,American Airlines Inc.,IAH,DFW,-3.0,-12.0,0,224.0
2020-10-12,Endeavor Air Inc.,SBN,ATL,-2.0,57.0,0,566.0
2019-01-30,Southwest Airlines Co.,CMH,MDW,0.0,0.0,1,283.0
2019-01-18,Delta Air Lines Inc.,SEA,SAN,1.0,-27.0,0,1050.0
2019-11-18,American Airlines Inc.,DFW,DCA,2.0,-1.0,0,1192.0
2022-08-19,American Airlines Inc.,DFW,FAT,-4.0,-5.0,0,1313.0
2019-02-14,American Airlines Inc.,JFK,LAX,-6.0,22.0,0,2475.0
2019-12-06,Delta Air Lines Inc.,MIA,DTW,0.0,-14.0,0,1145.0
